"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"07.01.2024 14:00 - 07.01.2024 14:30","N/A","1036"
"07.01.2024 14:30 - 07.01.2024 15:00","N/A","1055"
"07.01.2024 15:00 - 07.01.2024 15:30","N/A","1070"
"07.01.2024 15:30 - 07.01.2024 16:00","N/A","1061"
"07.01.2024 16:00 - 07.01.2024 16:30","N/A","1045"
"07.01.2024 16:30 - 07.01.2024 17:00","N/A","1037"
"07.01.2024 17:00 - 07.01.2024 17:30","N/A","1044"
"07.01.2024 17:30 - 07.01.2024 18:00","N/A","1065"
"07.01.2024 18:00 - 07.01.2024 18:30","N/A","1101"
"07.01.2024 18:30 - 07.01.2024 19:00","N/A","1177"
"07.01.2024 19:00 - 07.01.2024 19:30","N/A","1261"
"07.01.2024 19:30 - 07.01.2024 20:00","N/A","1305"
"07.01.2024 20:00 - 07.01.2024 20:30","N/A","1275"
"07.01.2024 20:30 - 07.01.2024 21:00","N/A","1227"
"07.01.2024 21:00 - 07.01.2024 21:30","N/A","1185"
"07.01.2024 21:30 - 07.01.2024 22:00","N/A","1139"
"07.01.2024 22:00 - 07.01.2024 22:30","N/A","1101"
"07.01.2024 22:30 - 07.01.2024 23:00","N/A","1052"
"07.01.2024 23:00 - 07.01.2024 23:30","N/A","1013"
"07.01.2024 23:30 - 08.01.2024 00:00","N/A","957"
"08.01.2024 00:00 - 08.01.2024 00:30","N/A","902"
"08.01.2024 00:30 - 08.01.2024 01:00","N/A","839"
"08.01.2024 01:00 - 08.01.2024 01:30","N/A","779"
"08.01.2024 01:30 - 08.01.2024 02:00","N/A","723"
"08.01.2024 02:00 - 08.01.2024 02:30","N/A","685"
"08.01.2024 02:30 - 08.01.2024 03:00","N/A","657"
"08.01.2024 03:00 - 08.01.2024 03:30","N/A","642"
"08.01.2024 03:30 - 08.01.2024 04:00","N/A","653"
"08.01.2024 04:00 - 08.01.2024 04:30","N/A","637"
"08.01.2024 04:30 - 08.01.2024 05:00","N/A","634"
"08.01.2024 05:00 - 08.01.2024 05:30","N/A","630"
"08.01.2024 05:30 - 08.01.2024 06:00","N/A","620"
"08.01.2024 06:00 - 08.01.2024 06:30","N/A","614"
"08.01.2024 06:30 - 08.01.2024 07:00","N/A","617"
"08.01.2024 07:00 - 08.01.2024 07:30","N/A","621"
"08.01.2024 07:30 - 08.01.2024 08:00","N/A","645"
"08.01.2024 08:00 - 08.01.2024 08:30","N/A","698"
"08.01.2024 08:30 - 08.01.2024 09:00","N/A","794"
"08.01.2024 09:00 - 08.01.2024 09:30","N/A","908"
"08.01.2024 09:30 - 08.01.2024 10:00","N/A","1039"
"08.01.2024 10:00 - 08.01.2024 10:30","N/A","1134"
"08.01.2024 10:30 - 08.01.2024 11:00","N/A","1174"
"08.01.2024 11:00 - 08.01.2024 11:30","N/A","1201"
"08.01.2024 11:30 - 08.01.2024 12:00","N/A","1249"
"08.01.2024 12:00 - 08.01.2024 12:30","N/A","1247"
"08.01.2024 12:30 - 08.01.2024 13:00","N/A","1251"
"08.01.2024 13:00 - 08.01.2024 13:30","N/A","1263"
"08.01.2024 13:30 - 08.01.2024 14:00","N/A","1257"
"08.01.2024 14:00 - 08.01.2024 14:30","N/A","1257"
