"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"05.11.2024 10:00 - 05.11.2024 10:30","N/A","1025"
"05.11.2024 10:30 - 05.11.2024 11:00","N/A","1049"
"05.11.2024 11:00 - 05.11.2024 11:30","N/A","1068"
"05.11.2024 11:30 - 05.11.2024 12:00","N/A","1086"
"05.11.2024 12:00 - 05.11.2024 12:30","N/A","1083"
"05.11.2024 12:30 - 05.11.2024 13:00","N/A","1081"
"05.11.2024 13:00 - 05.11.2024 13:30","N/A","1082"
"05.11.2024 13:30 - 05.11.2024 14:00","N/A","1084"
"05.11.2024 14:00 - 05.11.2024 14:30","N/A","1080"
"05.11.2024 14:30 - 05.11.2024 15:00","N/A","1083"
"05.11.2024 15:00 - 05.11.2024 15:30","N/A","1074"
"05.11.2024 15:30 - 05.11.2024 16:00","N/A","1047"
"05.11.2024 16:00 - 05.11.2024 16:30","N/A","1033"
"05.11.2024 16:30 - 05.11.2024 17:00","N/A","1045"
"05.11.2024 17:00 - 05.11.2024 17:30","N/A","1047"
"05.11.2024 17:30 - 05.11.2024 18:00","N/A","1063"
"05.11.2024 18:00 - 05.11.2024 18:30","N/A","1096"
"05.11.2024 18:30 - 05.11.2024 19:00","N/A","1158"
"05.11.2024 19:00 - 05.11.2024 19:30","N/A","1237"
"05.11.2024 19:30 - 05.11.2024 20:00","N/A","1262"
"05.11.2024 20:00 - 05.11.2024 20:30","N/A","1232"
"05.11.2024 20:30 - 05.11.2024 21:00","N/A","1175"
"05.11.2024 21:00 - 05.11.2024 21:30","N/A","1129"
"05.11.2024 21:30 - 05.11.2024 22:00","N/A","1092"
"05.11.2024 22:00 - 05.11.2024 22:30","N/A","1059"
"05.11.2024 22:30 - 05.11.2024 23:00","N/A","1015"
"05.11.2024 23:00 - 05.11.2024 23:30","N/A","978"
"05.11.2024 23:30 - 06.11.2024 00:00","N/A","921"
"06.11.2024 00:00 - 06.11.2024 00:30","N/A","868"
"06.11.2024 00:30 - 06.11.2024 01:00","N/A","805"
"06.11.2024 01:00 - 06.11.2024 01:30","N/A","746"
"06.11.2024 01:30 - 06.11.2024 02:00","N/A","689"
"06.11.2024 02:00 - 06.11.2024 02:30","N/A","647"
"06.11.2024 02:30 - 06.11.2024 03:00","N/A","628"
"06.11.2024 03:00 - 06.11.2024 03:30","N/A","604"
"06.11.2024 03:30 - 06.11.2024 04:00","N/A","620"
"06.11.2024 04:00 - 06.11.2024 04:30","N/A","605"
"06.11.2024 04:30 - 06.11.2024 05:00","N/A","598"
"06.11.2024 05:00 - 06.11.2024 05:30","N/A","594"
"06.11.2024 05:30 - 06.11.2024 06:00","N/A","588"
"06.11.2024 06:00 - 06.11.2024 06:30","N/A","581"
"06.11.2024 06:30 - 06.11.2024 07:00","N/A","585"
"06.11.2024 07:00 - 06.11.2024 07:30","N/A","588"
"06.11.2024 07:30 - 06.11.2024 08:00","N/A","613"
"06.11.2024 08:00 - 06.11.2024 08:30","N/A","670"
"06.11.2024 08:30 - 06.11.2024 09:00","N/A","755"
"06.11.2024 09:00 - 06.11.2024 09:30","N/A","848"
"06.11.2024 09:30 - 06.11.2024 10:00","N/A","947"
"06.11.2024 10:00 - 06.11.2024 10:30","N/A","1009"
"06.11.2024 10:30 - 06.11.2024 11:00","N/A","1026"
"06.11.2024 11:00 - 06.11.2024 11:30","N/A","1037"
"06.11.2024 11:30 - 06.11.2024 12:00","N/A","1067"
"06.11.2024 12:00 - 06.11.2024 12:30","N/A","1059"
"06.11.2024 12:30 - 06.11.2024 13:00","N/A","1060"
"06.11.2024 13:00 - 06.11.2024 13:30","N/A","1061"
"06.11.2024 13:30 - 06.11.2024 14:00","N/A","1052"
"06.11.2024 14:00 - 06.11.2024 14:30","N/A","1042"
"06.11.2024 14:30 - 06.11.2024 15:00","N/A","1051"
"06.11.2024 15:00 - 06.11.2024 15:30","N/A","1042"
"06.11.2024 15:30 - 06.11.2024 16:00","N/A","1003"
"06.11.2024 16:00 - 06.11.2024 16:30","N/A","1006"
"06.11.2024 16:30 - 06.11.2024 17:00","N/A","1003"
"06.11.2024 17:00 - 06.11.2024 17:30","N/A","1003"
"06.11.2024 17:30 - 06.11.2024 18:00","N/A","1015"
"06.11.2024 18:00 - 06.11.2024 18:30","N/A","1037"
"06.11.2024 18:30 - 06.11.2024 19:00","N/A","1107"
"06.11.2024 19:00 - 06.11.2024 19:30","N/A","1209"
"06.11.2024 19:30 - 06.11.2024 20:00","N/A","1214"
"06.11.2024 20:00 - 06.11.2024 20:30","N/A","1184"
"06.11.2024 20:30 - 06.11.2024 21:00","N/A","1140"
"06.11.2024 21:00 - 06.11.2024 21:30","N/A","1085"
"06.11.2024 21:30 - 06.11.2024 22:00","N/A","1065"
"06.11.2024 22:00 - 06.11.2024 22:30","N/A","1019"
"06.11.2024 22:30 - 06.11.2024 23:00","N/A","973"
"06.11.2024 23:00 - 06.11.2024 23:30","N/A","931"
"06.11.2024 23:30 - 07.11.2024 00:00","N/A","884"
"07.11.2024 00:00 - 07.11.2024 00:30","N/A","830"
"07.11.2024 00:30 - 07.11.2024 01:00","N/A","766"
"07.11.2024 01:00 - 07.11.2024 01:30","N/A","711"
"07.11.2024 01:30 - 07.11.2024 02:00","N/A","661"
"07.11.2024 02:00 - 07.11.2024 02:30","N/A","621"
"07.11.2024 02:30 - 07.11.2024 03:00","N/A","594"
"07.11.2024 03:00 - 07.11.2024 03:30","N/A","583"
"07.11.2024 03:30 - 07.11.2024 04:00","N/A","587"
"07.11.2024 04:00 - 07.11.2024 04:30","N/A","N/A"
"07.11.2024 04:30 - 07.11.2024 05:00","N/A","N/A"
"07.11.2024 05:00 - 07.11.2024 05:30","N/A","566"
"07.11.2024 05:30 - 07.11.2024 06:00","N/A","548"
"07.11.2024 06:00 - 07.11.2024 06:30","N/A","554"
"07.11.2024 06:30 - 07.11.2024 07:00","N/A","545"
"07.11.2024 07:00 - 07.11.2024 07:30","N/A","553"
"07.11.2024 07:30 - 07.11.2024 08:00","N/A","577"
"07.11.2024 08:00 - 07.11.2024 08:30","N/A","621"
"07.11.2024 08:30 - 07.11.2024 09:00","N/A","697"
"07.11.2024 09:00 - 07.11.2024 09:30","N/A","798"
"07.11.2024 09:30 - 07.11.2024 10:00","N/A","904"
"07.11.2024 10:00 - 07.11.2024 10:30","N/A","962"
"07.11.2024 10:30 - 07.11.2024 11:00","N/A","974"
"07.11.2024 11:00 - 07.11.2024 11:30","N/A","986"
"07.11.2024 11:30 - 07.11.2024 12:00","N/A","1007"
"07.11.2024 12:00 - 07.11.2024 12:30","N/A","1004"
"07.11.2024 12:30 - 07.11.2024 13:00","N/A","1008"
"07.11.2024 13:00 - 07.11.2024 13:30","N/A","1041"
"07.11.2024 13:30 - 07.11.2024 14:00","N/A","1039"
"07.11.2024 14:00 - 07.11.2024 14:30","N/A","1013"
"07.11.2024 14:30 - 07.11.2024 15:00","N/A","1016"
"07.11.2024 15:00 - 07.11.2024 15:30","N/A","1009"
"07.11.2024 15:30 - 07.11.2024 16:00","N/A","979"
"07.11.2024 16:00 - 07.11.2024 16:30","N/A","993"
"07.11.2024 16:30 - 07.11.2024 17:00","N/A","999"
"07.11.2024 17:00 - 07.11.2024 17:30","N/A","1000"
"07.11.2024 17:30 - 07.11.2024 18:00","N/A","1029"
"07.11.2024 18:00 - 07.11.2024 18:30","N/A","1057"
"07.11.2024 18:30 - 07.11.2024 19:00","N/A","1120"
"07.11.2024 19:00 - 07.11.2024 19:30","N/A","1182"
"07.11.2024 19:30 - 07.11.2024 20:00","N/A","1197"
"07.11.2024 20:00 - 07.11.2024 20:30","N/A","1173"
"07.11.2024 20:30 - 07.11.2024 21:00","N/A","1126"
"07.11.2024 21:00 - 07.11.2024 21:30","N/A","1088"
"07.11.2024 21:30 - 07.11.2024 22:00","N/A","1059"
"07.11.2024 22:00 - 07.11.2024 22:30","N/A","1016"
"07.11.2024 22:30 - 07.11.2024 23:00","N/A","894"
"07.11.2024 23:00 - 07.11.2024 23:30","N/A","925"
"07.11.2024 23:30 - 08.11.2024 00:00","N/A","919"
"08.11.2024 00:00 - 08.11.2024 00:30","N/A","854"
"08.11.2024 00:30 - 08.11.2024 01:00","N/A","798"
"08.11.2024 01:00 - 08.11.2024 01:30","N/A","733"
"08.11.2024 01:30 - 08.11.2024 02:00","N/A","688"
"08.11.2024 02:00 - 08.11.2024 02:30","N/A","645"
"08.11.2024 02:30 - 08.11.2024 03:00","N/A","621"
"08.11.2024 03:00 - 08.11.2024 03:30","N/A","601"
"08.11.2024 03:30 - 08.11.2024 04:00","N/A","620"
"08.11.2024 04:00 - 08.11.2024 04:30","N/A","606"
"08.11.2024 04:30 - 08.11.2024 05:00","N/A","593"
"08.11.2024 05:00 - 08.11.2024 05:30","N/A","579"
"08.11.2024 05:30 - 08.11.2024 06:00","N/A","572"
"08.11.2024 06:00 - 08.11.2024 06:30","N/A","552"
"08.11.2024 06:30 - 08.11.2024 07:00","N/A","555"
"08.11.2024 07:00 - 08.11.2024 07:30","N/A","564"
"08.11.2024 07:30 - 08.11.2024 08:00","N/A","584"
"08.11.2024 08:00 - 08.11.2024 08:30","N/A","630"
"08.11.2024 08:30 - 08.11.2024 09:00","N/A","707"
"08.11.2024 09:00 - 08.11.2024 09:30","N/A","797"
"08.11.2024 09:30 - 08.11.2024 10:00","N/A","895"
"08.11.2024 10:00 - 08.11.2024 10:30","N/A","971"
"08.11.2024 10:30 - 08.11.2024 11:00","N/A","993"
"08.11.2024 11:00 - 08.11.2024 11:30","N/A","1016"
"08.11.2024 11:30 - 08.11.2024 12:00","N/A","1040"
"08.11.2024 12:00 - 08.11.2024 12:30","N/A","1032"
"08.11.2024 12:30 - 08.11.2024 13:00","N/A","1041"
"08.11.2024 13:00 - 08.11.2024 13:30","N/A","1054"
"08.11.2024 13:30 - 08.11.2024 14:00","N/A","1056"
"08.11.2024 14:00 - 08.11.2024 14:30","N/A","1062"
"08.11.2024 14:30 - 08.11.2024 15:00","N/A","1064"
"08.11.2024 15:00 - 08.11.2024 15:30","N/A","1050"
"08.11.2024 15:30 - 08.11.2024 16:00","N/A","1020"
"08.11.2024 16:00 - 08.11.2024 16:30","N/A","1009"
"08.11.2024 16:30 - 08.11.2024 17:00","N/A","1007"
"08.11.2024 17:00 - 08.11.2024 17:30","N/A","994"
"08.11.2024 17:30 - 08.11.2024 18:00","N/A","1008"
"08.11.2024 18:00 - 08.11.2024 18:30","N/A","1034"
"08.11.2024 18:30 - 08.11.2024 19:00","N/A","1079"
"08.11.2024 19:00 - 08.11.2024 19:30","N/A","1142"
"08.11.2024 19:30 - 08.11.2024 20:00","N/A","1231"
"08.11.2024 20:00 - 08.11.2024 20:30","N/A","1194"
"08.11.2024 20:30 - 08.11.2024 21:00","N/A","1153"
"08.11.2024 21:00 - 08.11.2024 21:30","N/A","1054"
"08.11.2024 21:30 - 08.11.2024 22:00","N/A","1020"
"08.11.2024 22:00 - 08.11.2024 22:30","N/A","974"
"08.11.2024 22:30 - 08.11.2024 23:00","N/A","943"
"08.11.2024 23:00 - 08.11.2024 23:30","N/A","914"
"08.11.2024 23:30 - 09.11.2024 00:00","N/A","860"
"09.11.2024 00:00 - 09.11.2024 00:30","N/A","819"
"09.11.2024 00:30 - 09.11.2024 01:00","N/A","772"
"09.11.2024 01:00 - 09.11.2024 01:30","N/A","733"
"09.11.2024 01:30 - 09.11.2024 02:00","N/A","686"
"09.11.2024 02:00 - 09.11.2024 02:30","N/A","649"
"09.11.2024 02:30 - 09.11.2024 03:00","N/A","621"
"09.11.2024 03:00 - 09.11.2024 03:30","N/A","606"
"09.11.2024 03:30 - 09.11.2024 04:00","N/A","612"
"09.11.2024 04:00 - 09.11.2024 04:30","N/A","598"
"09.11.2024 04:30 - 09.11.2024 05:00","N/A","589"
"09.11.2024 05:00 - 09.11.2024 05:30","N/A","578"
"09.11.2024 05:30 - 09.11.2024 06:00","N/A","567"
"09.11.2024 06:00 - 09.11.2024 06:30","N/A","563"
"09.11.2024 06:30 - 09.11.2024 07:00","N/A","560"
"09.11.2024 07:00 - 09.11.2024 07:30","N/A","558"
"09.11.2024 07:30 - 09.11.2024 08:00","N/A","569"
"09.11.2024 08:00 - 09.11.2024 08:30","N/A","586"
"09.11.2024 08:30 - 09.11.2024 09:00","N/A","626"
"09.11.2024 09:00 - 09.11.2024 09:30","N/A","659"
"09.11.2024 09:30 - 09.11.2024 10:00","N/A","705"
"09.11.2024 10:00 - 09.11.2024 10:30","N/A","745"
"09.11.2024 10:30 - 09.11.2024 11:00","N/A","794"
"09.11.2024 11:00 - 09.11.2024 11:30","N/A","849"
"09.11.2024 11:30 - 09.11.2024 12:00","N/A","886"
"09.11.2024 12:00 - 09.11.2024 12:30","N/A","903"
"09.11.2024 12:30 - 09.11.2024 13:00","N/A","912"
"09.11.2024 13:00 - 09.11.2024 13:30","N/A","922"
"09.11.2024 13:30 - 09.11.2024 14:00","N/A","931"
"09.11.2024 14:00 - 09.11.2024 14:30","N/A","940"
"09.11.2024 14:30 - 09.11.2024 15:00","N/A","938"
"09.11.2024 15:00 - 09.11.2024 15:30","N/A","N/A"
"09.11.2024 15:30 - 09.11.2024 16:00","N/A","N/A"
"09.11.2024 16:00 - 09.11.2024 16:30","N/A","907"
"09.11.2024 16:30 - 09.11.2024 17:00","N/A","901"
"09.11.2024 17:00 - 09.11.2024 17:30","N/A","902"
"09.11.2024 17:30 - 09.11.2024 18:00","N/A","910"
"09.11.2024 18:00 - 09.11.2024 18:30","N/A","931"
"09.11.2024 18:30 - 09.11.2024 19:00","N/A","990"
"09.11.2024 19:00 - 09.11.2024 19:30","N/A","1059"
"09.11.2024 19:30 - 09.11.2024 20:00","N/A","1090"
"09.11.2024 20:00 - 09.11.2024 20:30","N/A","1074"
"09.11.2024 20:30 - 09.11.2024 21:00","N/A","1030"
"09.11.2024 21:00 - 09.11.2024 21:30","N/A","985"
"09.11.2024 21:30 - 09.11.2024 22:00","N/A","945"
"09.11.2024 22:00 - 09.11.2024 22:30","N/A","911"
"09.11.2024 22:30 - 09.11.2024 23:00","N/A","878"
"09.11.2024 23:00 - 09.11.2024 23:30","N/A","844"
"09.11.2024 23:30 - 10.11.2024 00:00","N/A","803"
"10.11.2024 00:00 - 10.11.2024 00:30","N/A","769"
"10.11.2024 00:30 - 10.11.2024 01:00","N/A","726"
"10.11.2024 01:00 - 10.11.2024 01:30","N/A","689"
"10.11.2024 01:30 - 10.11.2024 02:00","N/A","651"
"10.11.2024 02:00 - 10.11.2024 02:30","N/A","612"
"10.11.2024 02:30 - 10.11.2024 03:00","N/A","583"
"10.11.2024 03:00 - 10.11.2024 03:30","N/A","562"
"10.11.2024 03:30 - 10.11.2024 04:00","N/A","576"
"10.11.2024 04:00 - 10.11.2024 04:30","N/A","563"
"10.11.2024 04:30 - 10.11.2024 05:00","N/A","551"
"10.11.2024 05:00 - 10.11.2024 05:30","N/A","541"
"10.11.2024 05:30 - 10.11.2024 06:00","N/A","531"
"10.11.2024 06:00 - 10.11.2024 06:30","N/A","525"
"10.11.2024 06:30 - 10.11.2024 07:00","N/A","524"
"10.11.2024 07:00 - 10.11.2024 07:30","N/A","524"
"10.11.2024 07:30 - 10.11.2024 08:00","N/A","529"
"10.11.2024 08:00 - 10.11.2024 08:30","N/A","539"
"10.11.2024 08:30 - 10.11.2024 09:00","N/A","570"
"10.11.2024 09:00 - 10.11.2024 09:30","N/A","N/A"
"10.11.2024 09:30 - 10.11.2024 10:00","N/A","N/A"
"10.11.2024 10:00 - 10.11.2024 10:30","N/A","660"
"10.11.2024 10:30 - 10.11.2024 11:00","N/A","702"
"10.11.2024 11:00 - 10.11.2024 11:30","N/A","759"
"10.11.2024 11:30 - 10.11.2024 12:00","N/A","807"
"10.11.2024 12:00 - 10.11.2024 12:30","N/A","843"
"10.11.2024 12:30 - 10.11.2024 13:00","N/A","863"
"10.11.2024 13:00 - 10.11.2024 13:30","N/A","867"
"10.11.2024 13:30 - 10.11.2024 14:00","N/A","877"
"10.11.2024 14:00 - 10.11.2024 14:30","N/A","889"
"10.11.2024 14:30 - 10.11.2024 15:00","N/A","901"
"10.11.2024 15:00 - 10.11.2024 15:30","N/A","897"
"10.11.2024 15:30 - 10.11.2024 16:00","N/A","868"
"10.11.2024 16:00 - 10.11.2024 16:30","N/A","858"
"10.11.2024 16:30 - 10.11.2024 17:00","N/A","840"
"10.11.2024 17:00 - 10.11.2024 17:30","N/A","866"
"10.11.2024 17:30 - 10.11.2024 18:00","N/A","898"
"10.11.2024 18:00 - 10.11.2024 18:30","N/A","938"
"10.11.2024 18:30 - 10.11.2024 19:00","N/A","990"
"10.11.2024 19:00 - 10.11.2024 19:30","N/A","1094"
"10.11.2024 19:30 - 10.11.2024 20:00","N/A","1134"
"10.11.2024 20:00 - 10.11.2024 20:30","N/A","1105"
"10.11.2024 20:30 - 10.11.2024 21:00","N/A","1063"
"10.11.2024 21:00 - 10.11.2024 21:30","N/A","1023"
"10.11.2024 21:30 - 10.11.2024 22:00","N/A","982"
"10.11.2024 22:00 - 10.11.2024 22:30","N/A","948"
"10.11.2024 22:30 - 10.11.2024 23:00","N/A","919"
"10.11.2024 23:00 - 10.11.2024 23:30","N/A","876"
"10.11.2024 23:30 - 11.11.2024 00:00","N/A","839"
"11.11.2024 00:00 - 11.11.2024 00:30","N/A","791"
"11.11.2024 00:30 - 11.11.2024 01:00","N/A","742"
"11.11.2024 01:00 - 11.11.2024 01:30","N/A","693"
"11.11.2024 01:30 - 11.11.2024 02:00","N/A","657"
"11.11.2024 02:00 - 11.11.2024 02:30","N/A","618"
"11.11.2024 02:30 - 11.11.2024 03:00","N/A","599"
"11.11.2024 03:00 - 11.11.2024 03:30","N/A","590"
"11.11.2024 03:30 - 11.11.2024 04:00","N/A","603"
"11.11.2024 04:00 - 11.11.2024 04:30","N/A","594"
"11.11.2024 04:30 - 11.11.2024 05:00","N/A","593"
"11.11.2024 05:00 - 11.11.2024 05:30","N/A","582"
"11.11.2024 05:30 - 11.11.2024 06:00","N/A","576"
"11.11.2024 06:00 - 11.11.2024 06:30","N/A","573"
"11.11.2024 06:30 - 11.11.2024 07:00","N/A","579"
"11.11.2024 07:00 - 11.11.2024 07:30","N/A","592"
"11.11.2024 07:30 - 11.11.2024 08:00","N/A","609"
"11.11.2024 08:00 - 11.11.2024 08:30","N/A","662"
"11.11.2024 08:30 - 11.11.2024 09:00","N/A","752"
"11.11.2024 09:00 - 11.11.2024 09:30","N/A","856"
"11.11.2024 09:30 - 11.11.2024 10:00","N/A","981"
"11.11.2024 10:00 - 11.11.2024 10:30","N/A","1042"
"11.11.2024 10:30 - 11.11.2024 11:00","N/A","1069"
"11.11.2024 11:00 - 11.11.2024 11:30","N/A","1087"
"11.11.2024 11:30 - 11.11.2024 12:00","N/A","1114"
"11.11.2024 12:00 - 11.11.2024 12:30","N/A","1110"
"11.11.2024 12:30 - 11.11.2024 13:00","N/A","1108"
"11.11.2024 13:00 - 11.11.2024 13:30","N/A","1104"
"11.11.2024 13:30 - 11.11.2024 14:00","N/A","1090"
"11.11.2024 14:00 - 11.11.2024 14:30","N/A","1085"
"11.11.2024 14:30 - 11.11.2024 15:00","N/A","1087"
"11.11.2024 15:00 - 11.11.2024 15:30","N/A","1081"
"11.11.2024 15:30 - 11.11.2024 16:00","N/A","1055"
"11.11.2024 16:00 - 11.11.2024 16:30","N/A","1044"
"11.11.2024 16:30 - 11.11.2024 17:00","N/A","1041"
"11.11.2024 17:00 - 11.11.2024 17:30","N/A","1046"
"11.11.2024 17:30 - 11.11.2024 18:00","N/A","1078"
"11.11.2024 18:00 - 11.11.2024 18:30","N/A","1119"
"11.11.2024 18:30 - 11.11.2024 19:00","N/A","1188"
"11.11.2024 19:00 - 11.11.2024 19:30","N/A","1301"
"11.11.2024 19:30 - 11.11.2024 20:00","N/A","1328"
"11.11.2024 20:00 - 11.11.2024 20:30","N/A","1295"
"11.11.2024 20:30 - 11.11.2024 21:00","N/A","1235"
"11.11.2024 21:00 - 11.11.2024 21:30","N/A","1185"
"11.11.2024 21:30 - 11.11.2024 22:00","N/A","1144"
"11.11.2024 22:00 - 11.11.2024 22:30","N/A","1109"
"11.11.2024 22:30 - 11.11.2024 23:00","N/A","1072"
"11.11.2024 23:00 - 11.11.2024 23:30","N/A","1027"
"11.11.2024 23:30 - 12.11.2024 00:00","N/A","975"
"12.11.2024 00:00 - 12.11.2024 00:30","N/A","921"
"12.11.2024 00:30 - 12.11.2024 01:00","N/A","857"
"12.11.2024 01:00 - 12.11.2024 01:30","N/A","N/A"
"12.11.2024 01:30 - 12.11.2024 02:00","N/A","N/A"
"12.11.2024 02:00 - 12.11.2024 02:30","N/A","701"
"12.11.2024 02:30 - 12.11.2024 03:00","N/A","679"
"12.11.2024 03:00 - 12.11.2024 03:30","N/A","663"
"12.11.2024 03:30 - 12.11.2024 04:00","N/A","675"
"12.11.2024 04:00 - 12.11.2024 04:30","N/A","659"
"12.11.2024 04:30 - 12.11.2024 05:00","N/A","657"
"12.11.2024 05:00 - 12.11.2024 05:30","N/A","646"
"12.11.2024 05:30 - 12.11.2024 06:00","N/A","640"
"12.11.2024 06:00 - 12.11.2024 06:30","N/A","635"
"12.11.2024 06:30 - 12.11.2024 07:00","N/A","637"
"12.11.2024 07:00 - 12.11.2024 07:30","N/A","646"
"12.11.2024 07:30 - 12.11.2024 08:00","N/A","666"
"12.11.2024 08:00 - 12.11.2024 08:30","N/A","714"
"12.11.2024 08:30 - 12.11.2024 09:00","N/A","806"
"12.11.2024 09:00 - 12.11.2024 09:30","N/A","917"
"12.11.2024 09:30 - 12.11.2024 10:00","N/A","1039"
"12.11.2024 10:00 - 12.11.2024 10:30","N/A","1097"
"12.11.2024 10:30 - 12.11.2024 11:00","N/A","1124"
"12.11.2024 11:00 - 12.11.2024 11:30","N/A","1152"
"12.11.2024 11:30 - 12.11.2024 12:00","N/A","1181"
"12.11.2024 12:00 - 12.11.2024 12:30","N/A","1165"
"12.11.2024 12:30 - 12.11.2024 13:00","N/A","1155"
"12.11.2024 13:00 - 12.11.2024 13:30","N/A","1151"
"12.11.2024 13:30 - 12.11.2024 14:00","N/A","1138"
"12.11.2024 14:00 - 12.11.2024 14:30","N/A","1139"
"12.11.2024 14:30 - 12.11.2024 15:00","N/A","1135"
"12.11.2024 15:00 - 12.11.2024 15:30","N/A","1120"
"12.11.2024 15:30 - 12.11.2024 16:00","N/A","1093"
"12.11.2024 16:00 - 12.11.2024 16:30","N/A","1089"
"12.11.2024 16:30 - 12.11.2024 17:00","N/A","1097"
"12.11.2024 17:00 - 12.11.2024 17:30","N/A","1099"
"12.11.2024 17:30 - 12.11.2024 18:00","N/A","1125"
"12.11.2024 18:00 - 12.11.2024 18:30","N/A","1155"
"12.11.2024 18:30 - 12.11.2024 19:00","N/A","1226"
"12.11.2024 19:00 - 12.11.2024 19:30","N/A","1340"
"12.11.2024 19:30 - 12.11.2024 20:00","N/A","1368"
"12.11.2024 20:00 - 12.11.2024 20:30","N/A","1327"
"12.11.2024 20:30 - 12.11.2024 21:00","N/A","1270"
"12.11.2024 21:00 - 12.11.2024 21:30","N/A","1225"
"12.11.2024 21:30 - 12.11.2024 22:00","N/A","1185"
"12.11.2024 22:00 - 12.11.2024 22:30","N/A","1140"
"12.11.2024 22:30 - 12.11.2024 23:00","N/A","1111"
"12.11.2024 23:00 - 12.11.2024 23:30","N/A","1063"
"12.11.2024 23:30 - 13.11.2024 00:00","N/A","1008"
"13.11.2024 00:00 - 13.11.2024 00:30","N/A","945"
"13.11.2024 00:30 - 13.11.2024 01:00","N/A","870"
"13.11.2024 01:00 - 13.11.2024 01:30","N/A","807"
"13.11.2024 01:30 - 13.11.2024 02:00","N/A","755"
"13.11.2024 02:00 - 13.11.2024 02:30","N/A","709"
"13.11.2024 02:30 - 13.11.2024 03:00","N/A","682"
"13.11.2024 03:00 - 13.11.2024 03:30","N/A","668"
"13.11.2024 03:30 - 13.11.2024 04:00","N/A","681"
"13.11.2024 04:00 - 13.11.2024 04:30","N/A","668"
"13.11.2024 04:30 - 13.11.2024 05:00","N/A","663"
"13.11.2024 05:00 - 13.11.2024 05:30","N/A","657"
"13.11.2024 05:30 - 13.11.2024 06:00","N/A","653"
"13.11.2024 06:00 - 13.11.2024 06:30","N/A","646"
"13.11.2024 06:30 - 13.11.2024 07:00","N/A","647"
"13.11.2024 07:00 - 13.11.2024 07:30","N/A","659"
"13.11.2024 07:30 - 13.11.2024 08:00","N/A","674"
"13.11.2024 08:00 - 13.11.2024 08:30","N/A","723"
"13.11.2024 08:30 - 13.11.2024 09:00","N/A","813"
"13.11.2024 09:00 - 13.11.2024 09:30","N/A","925"
"13.11.2024 09:30 - 13.11.2024 10:00","N/A","1048"
"13.11.2024 10:00 - 13.11.2024 10:30","N/A","1108"
"13.11.2024 10:30 - 13.11.2024 11:00","N/A","1133"
"13.11.2024 11:00 - 13.11.2024 11:30","N/A","1152"
"13.11.2024 11:30 - 13.11.2024 12:00","N/A","1175"
"13.11.2024 12:00 - 13.11.2024 12:30","N/A","1177"
"13.11.2024 12:30 - 13.11.2024 13:00","N/A","1167"
"13.11.2024 13:00 - 13.11.2024 13:30","N/A","1166"
"13.11.2024 13:30 - 13.11.2024 14:00","N/A","1166"
"13.11.2024 14:00 - 13.11.2024 14:30","N/A","1160"
"13.11.2024 14:30 - 13.11.2024 15:00","N/A","1158"
"13.11.2024 15:00 - 13.11.2024 15:30","N/A","1154"
"13.11.2024 15:30 - 13.11.2024 16:00","N/A","1124"
"13.11.2024 16:00 - 13.11.2024 16:30","N/A","1120"
"13.11.2024 16:30 - 13.11.2024 17:00","N/A","1117"
"13.11.2024 17:00 - 13.11.2024 17:30","N/A","1114"
"13.11.2024 17:30 - 13.11.2024 18:00","N/A","1145"
"13.11.2024 18:00 - 13.11.2024 18:30","N/A","1174"
"13.11.2024 18:30 - 13.11.2024 19:00","N/A","1253"
"13.11.2024 19:00 - 13.11.2024 19:30","N/A","1330"
"13.11.2024 19:30 - 13.11.2024 20:00","N/A","1334"
"13.11.2024 20:00 - 13.11.2024 20:30","N/A","1290"
"13.11.2024 20:30 - 13.11.2024 21:00","N/A","1237"
"13.11.2024 21:00 - 13.11.2024 21:30","N/A","1182"
"13.11.2024 21:30 - 13.11.2024 22:00","N/A","1151"
"13.11.2024 22:00 - 13.11.2024 22:30","N/A","1110"
"13.11.2024 22:30 - 13.11.2024 23:00","N/A","1069"
"13.11.2024 23:00 - 13.11.2024 23:30","N/A","1026"
"13.11.2024 23:30 - 14.11.2024 00:00","N/A","970"
"14.11.2024 00:00 - 14.11.2024 00:30","N/A","904"
"14.11.2024 00:30 - 14.11.2024 01:00","N/A","842"
"14.11.2024 01:00 - 14.11.2024 01:30","N/A","787"
"14.11.2024 01:30 - 14.11.2024 02:00","N/A","736"
"14.11.2024 02:00 - 14.11.2024 02:30","N/A","696"
"14.11.2024 02:30 - 14.11.2024 03:00","N/A","666"
"14.11.2024 03:00 - 14.11.2024 03:30","N/A","655"
"14.11.2024 03:30 - 14.11.2024 04:00","N/A","667"
"14.11.2024 04:00 - 14.11.2024 04:30","N/A","651"
"14.11.2024 04:30 - 14.11.2024 05:00","N/A","647"
"14.11.2024 05:00 - 14.11.2024 05:30","N/A","636"
"14.11.2024 05:30 - 14.11.2024 06:00","N/A","617"
"14.11.2024 06:00 - 14.11.2024 06:30","N/A","613"
"14.11.2024 06:30 - 14.11.2024 07:00","N/A","615"
"14.11.2024 07:00 - 14.11.2024 07:30","N/A","629"
"14.11.2024 07:30 - 14.11.2024 08:00","N/A","646"
"14.11.2024 08:00 - 14.11.2024 08:30","N/A","693"
